A 313 200 000 UI POUR CENT, POMMADE
CARBOCISTEINE TEVA CONSEIL 2 % ENFANTS SANS SUCRE, SOLUTION BUVABLE ÉDULCORÉE À LA SACCHARINE SODIQUE
CARBOCISTEINE TEVA CONSEIL 2 POUR CENT ENFANTS, SIROP
CARBOCISTEINE TEVA CONSEIL 5 % ADULTES SANS SUCRE, SOLUTION BUVABLE ÉDULCORÉE À LA SACCHARINE SODIQUE
CARBOCISTEINE TEVA CONSEIL 5 POUR CENT ADULTES, SIROP
CARBOCISTEINE UPSA 5 % ADULTES SANS SUCRE, SOLUTION BUVABLE ÉDULCORÉE À LA SACCHARINE SODIQUE ET AU MALTITOL LIQUIDE
CARBOCISTEINE UPSA 750 MG/15 ML ADULTES SANS SUCRE, SOLUTION BUVABLE EN SACHET ÉDULCORÉE À LA SACCHARINE SODIQUE ET AU MALTITOL LIQUIDE
CARBOCISTEINE VIATRIS CONSEIL 2 % ENFANTS SANS SUCRE, SOLUTION BUVABLE ÉDULCORÉE AU MALTITOL LIQUIDE ET AU SORBITOL
CARBOCISTEINE VIATRIS CONSEIL 2 % ENFANTS, SIROP
CARBOCISTEINE VIATRIS CONSEIL 5 % ADULTES SANS SUCRE, SOLUTION BUVABLE ÉDULCORÉE AU MALTITOL LIQUIDE ET AU SORBITOL
CARBOCISTEINE VIATRIS CONSEIL 5 POUR CENT ADULTES, SIROP
CARBOCISTEINE ZENTIVA CONSEIL 2 % ENFANTS SANS SUCRE, SIROP ÉDULCORÉ À LA SACCHARINE SODIQUE ET AU MALTITOL LIQUIDE
CARBOCISTEINE ZENTIVA CONSEIL 5 % ADULTES SANS SUCRE, SIROP ÉDULCORÉ À LA SACCHARINE SODIQUE
CARBOLEVURE ADULTES, GÉLULE
CARBOLICUM ACIDUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
CARBONEUM SULFURATUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 3CH ET 30CH OU ENTRE 6DH ET 60DH
CARBOPLATINE ACCORD 10 MG/ML, SOLUTION POUR PERFUSION
CARBOPLATINE ARROW 10 MG/ML, SOLUTION POUR PERFUSION
CARBOPLATINE HOSPIRA 10 MG/ML, SOLUTION INJECTABLE POUR PERFUSION
CARBOPLATINE KABI 10 MG/ML, SOLUTION À DILUER POUR PERFUSION
CARBOPLATINE TEVA 10 MG/ML, SOLUTION POUR PERFUSION
CARBOPLATINE VIATRIS 10 MG/ML, SOLUTION POUR PERFUSION
CARBOSYLANE ENFANT, GÉLULE
CARBOSYLANE, GÉLULE
CARBOSYMAG, GÉLULE
CARDENSIEL 1,25 MG, COMPRIMÉ PELLICULÉ
CARDENSIEL 10 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARDENSIEL 2,5 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARDENSIEL 2,5 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARDENSIEL 3,75 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARDENSIEL 5 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARDENSIEL 7,5 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARDINE BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
CARDINE WELEDA, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
CARDIOCALM, COMPRIMÉ PELLICULÉ
CARDIOMIBI 1 MG, TROUSSE POUR PRÉPARATION RADIOPHARMACEUTIQUE
CARDIOXANE 500 MG, POUDRE POUR SOLUTION POUR PERFUSION
CARDUUS MARIANUS BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
CARDUUS MARIANUS LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
CARIBAN 10 MG/10 MG, GÉLULE À LIBÉRATION MODIFIÉE
CARICA PAPAYA BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
CARLIN 75 MICROGRAMMES/20 MICROGRAMMES, COMPRIMÉ ENROBÉ
CARLIN 75 MICROGRAMMES/30 MICROGRAMMES, COMPRIMÉ ENROBÉ
CARLYTENE 30 MG, COMPRIMÉ ENROBÉ
CARMIN DINDIGO PROVINGO 40 MG/5 ML, SOLUTION INJECTABLE
CARMUSTINE ACCORD 100 MG, POUDRE ET SOLVANT POUR SOLUTION POUR PERFUSION
CARMUSTINE MEDAC 100 MG, POUDRE ET SOLVANT POUR SOLUTION À DILUER POUR PERFUSION
CARMYNE 40 MG/5 ML, SOLUTION INJECTABLE
CAROMINTHE, SOLUTION BUVABLE EN GOUTTES
CARTEOL 1 %, COLLYRE EN SOLUTION
CARTEOL 2 %, COLLYRE EN SOLUTION
CARTEOL L.P. 1 %, COLLYRE À LIBÉRATION PROLONGÉE
CARTEOL L.P. 1 %, COLLYRE À LIBÉRATION PROLONGÉE EN RÉCIPIENT UNIDOSE
CARTEOL L.P. 2 %, COLLYRE À LIBÉRATION PROLONGÉE
CARTEOL L.P. 2 %, COLLYRE À LIBÉRATION PROLONGÉE EN RÉCIPIENT UNIDOSE
CARTIFIT 200 MG/250 MG, GÉLULE
CARTILAGE DE CONJUGAISON BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
CARTILAGO BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
CARTILAGO WELEDA, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
CARTREX 100 MG, COMPRIMÉ PELLICULÉ
CARVECORAL 12,5 MG/5 MG, COMPRIMÉ PELLICULÉ
CARVECORAL 12,5 MG/7,5 MG, COMPRIMÉ PELLICULÉ
CARVECORAL 25 MG/5 MG, COMPRIMÉ PELLICULÉ
CARVECORAL 25 MG/7,5 MG, COMPRIMÉ PELLICULÉ
CARVECORAL 6,25 MG/7,5 MG, COMPRIMÉ PELLICULÉ
CARVECORAL 6,25MG/5MG, COMPRIMÉ PELLICULÉ
CARVEDILOL ARROW 12,5 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARVEDILOL ARROW 25 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARVEDILOL ARROW 6,25 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARVEDILOL BIOGARAN 12,5 MG, COMPRIMÉ SÉCABLE
CARVEDILOL BIOGARAN 25 MG, COMPRIMÉ SÉCABLE
CARVEDILOL BIOGARAN 6,25 MG, COMPRIMÉ SÉCABLE
CARVEDILOL EG 12,5 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARVEDILOL EG 25 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARVEDILOL EG 6,25 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARVEDILOL TEVA 12,5 MG, COMPRIMÉ SÉCABLE
CARVEDILOL TEVA 25 MG, COMPRIMÉ SÉCABLE
CARVEDILOL TEVA 6,25 MG, COMPRIMÉ SÉCABLE
CARVEDILOL VIATRIS 12,5 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARVEDILOL VIATRIS 25 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARVEDILOL VIATRIS 6,25 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARVEDILOL ZENTIVA 12,5 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARVEDILOL ZENTIVA 25 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARVEDILOL ZENTIVA 6,25 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CARVYKTI 3,2 X 1 000 000 - 1,0 X 100 000 000 CELLULES, DISPERSION POUR PERFUSION
CASCARA SAGRADA BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
CASCARA SAGRADA LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
CASCARILLA BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
CASENLAX 10 G, SOLUTION BUVABLE EN SACHET
CASODEX 50 MG, COMPRIMÉ ENROBÉ
CASPOFUNGINE EG 50 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE EG 70 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE FRESENIUS KABI 50 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE FRESENIUS KABI 70 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE HIKMA 50 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE HIKMA 70 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE LORIEN 50 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE LORIEN 70 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE REDDY PHARMA 50 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE REDDY PHARMA 70 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE STRAGEN 50 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE STRAGEN 70 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE SUN 50 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE SUN 70 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE TEVA 50 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE TEVA 70 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE TEVA SANTE 50 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE TEVA SANTE 70 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE VIATRIS 50 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASPOFUNGINE VIATRIS 70 MG, POUDRE POUR SOLUTION À DILUER POUR PERFUSION
CASTANEA VESCA BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
CASTOR EQUI BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 4CH ET 30CH OU ENTRE 8DH ET 60DH
CASTOR EQUI BOIRON, POMMADE
CATACOL 0,1 POUR CENT, COLLYRE
CATAPRESSAN 0,15 MG, COMPRIMÉ SÉCABLE
CATAPRESSAN 0,15 MG/ML, SOLUTION INJECTABLE
CATARSTAT, COLLYRE EN SOLUTION
CAULOPHYLLUM THALICTROIDES BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
CAULOPHYLLUM THALICTROIDES LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
CAUSTICUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
CAUSTICUM LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
CAUSTICUM WELEDA, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
CAVERJECT 10 MICROGRAMMES/1 ML, LYOPHILISAT ET SOLUTION POUR USAGE PARENTÉRAL
CAVERJECT 20 MICROGRAMMES/1 ML, LYOPHILISAT ET SOLUTION POUR USAGE PARENTÉRAL
CAYSTON 75 MG, POUDRE ET SOLVANT POUR SOLUTION POUR INHALATION
CEANOTHUS AMERICANUS SICCUM BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
CEANOTHUS AMERICANUS SICCUM LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
CEBEMYXINE, COLLYRE EN SOLUTION
CEBESINE 0,4 %, COLLYRE EN SOLUTION
CEBUTID 100 MG, COMPRIMÉ ENROBÉ
CEBUTID 50 MG, COMPRIMÉ ENROBÉ
CEBUTID LP 200 MG, GÉLULE À LIBÉRATION PROLONGÉE
CEDACONDA 100 % V/V, LIQUIDE POUR INHALATION PAR VAPEUR
CEDRON BOIRON, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
CEDRON LEHNING, DEGRÉ DE DILUTION COMPRIS ENTRE 2CH ET 30CH OU ENTRE 4DH ET 60DH
CEFADROXIL BIOGARAN 500 MG, GÉLULE
CEFADROXIL MYLAN 1 G, COMPRIMÉ PELLICULÉ
CEFADROXIL MYLAN 250 MG/5 ML, POUDRE POUR SUSPENSION BUVABLE
CEFADROXIL MYLAN 500 MG, GÉLULE
CEFADROXIL SANDOZ 500 MG, GÉLULE
CEFALINE HAUTH 500 MG/50 MG, COMPRIMÉ PELLICULÉ SÉCABLE
CEFALINE HAUTH 500MG/50MG, POUDRE ORALE EN SACHET
CEFAMANDOLE FLAVELAB 750 MG, POUDRE POUR SOLUTION INJECTABLE (IM - IV)
CEFAMANDOLE PANPHARMA 750 MG, POUDRE POUR USAGE PARENTÉRAL
CEFAZOLINE PANPHARMA 1 G/5 ML, POUDRE ET SOLUTION POUR USAGE PARENTÉRAL (IV)
CEFAZOLINE PANPHARMA 2 G/10 ML, POUDRE ET SOLUTION POUR USAGE PARENTÉRAL (IV)
CEFAZOLINE VIATRIS 1 G, POUDRE POUR SOLUTION INJECTABLE (IM-IV)
CEFAZOLINE VIATRIS 2 G, POUDRE POUR SOLUTION INJECTABLE (IM-IV)
CEFEPIME ACCORD 1 G, POUDRE POUR SOLUTION INJECTABLE/POUR PERFUSION (IM/IV)
CEFEPIME ACCORD 2 G, POUDRE POUR SOLUTION INJECTABLE/POUR PERFUSION (IV)
CEFEPIME NORIDEM 1 G, POUDRE POUR SOLUTION INJECTABLE/POUR PERFUSION
CEFEPIME NORIDEM 2 G, POUDRE POUR SOLUTION INJECTABLE/POUR PERFUSION
CEFEPIME PANPHARMA 1 G, POUDRE POUR SOLUTION INJECTABLE (IM/IV)
CEFEPIME PANPHARMA 2 G, POUDRE POUR SOLUTION INJECTABLE (IV)
CEFEPIME STRAGEN 1 G, POUDRE POUR SOLUTION INJECTABLE/POUR PERFUSION
CEFEPIME STRAGEN 2 G, POUDRE POUR SOLUTION INJECTABLE/POUR PERFUSION
CEFEPIME SUBSTIPHARM 0,5 G, POUDRE POUR SOLUTION INJECTABLE (IM/IV)
CEFEPIME SUBSTIPHARM 1 G, POUDRE POUR SOLUTION INJECTABLE (IM/IV)
CEFEPIME SUBSTIPHARM 2 G, POUDRE POUR SOLUTION INJECTABLE (IV)
CEFEPIME VIATRIS 1 G, POUDRE POUR SOLUTION INJECTABLE
CEFEPIME VIATRIS 2 G, POUDRE POUR SOLUTION INJECTABLE
CEFIXIME ALMUS 200 MG, COMPRIMÉ PELLICULÉ
CEFIXIME ARROW ENFANTS 100 MG/5 ML, POUDRE POUR SUSPENSION BUVABLE EN FLACON
CEFIXIME ARROW LAB 200 MG, COMPRIMÉ PELLICULÉ
CEFIXIME BIOGARAN 200 MG, COMPRIMÉ PELLICULÉ
CEFIXIME CRISTERS 200 MG, COMPRIMÉ PELLICULÉ
CEFIXIME EG 200 MG, COMPRIMÉ PELLICULÉ
CEFIXIME EG LABO 200 MG, COMPRIMÉ PELLICULÉ
CEFIXIME EVOLUGEN 200 MG, COMPRIMÉ PELLICULÉ
CEFIXIME RANBAXY 200 MG, COMPRIMÉ PELLICULÉ
CEFIXIME TEVA 200 MG, COMPRIMÉ PELLICULÉ
CEFIXIME VIATRIS 200 MG, COMPRIMÉ PELLICULÉ
CEFIXIME ZYDUS 200 MG, COMPRIMÉ PELLICULÉ
CEFOTAXIME NORIDEM 0,5 G, POUDRE POUR SOLUTION INJECTABLE/POUR PERFUSION
CEFOTAXIME NORIDEM 1 G, POUDRE POUR SOLUTION INJECTABLE/POUR PERFUSION
CEFOTAXIME NORIDEM 2 G, POUDRE POUR SOLUTION INJECTABLE/POUR PERFUSION
CEFOTAXIME PANPHARMA 0,5 G, POUDRE POUR SOLUTION INJECTABLE (IM-IV)
CEFOTAXIME PANPHARMA 1 G, POUDRE POUR SOLUTION INJECTABLE (IM-IV)
CEFOTAXIME PANPHARMA 2 G, POUDRE POUR SOLUTION INJECTABLE (IM-IV)
CEFOTAXIME VIATRIS 1 G, POUDRE POUR SOLUTION INJECTABLE (IM-IV)
CEFOTAXIME VIATRIS 2 G, POUDRE POUR SOLUTION INJECTABLE (IM-IV)
CEFOTAXIME VIATRIS 500 MG, POUDRE POUR SOLUTION INJECTABLE (IM-IV)
CEFOXITINE PANPHARMA 1 G, POUDRE POUR SOLUTION INJECTABLE (IV)
CEFOXITINE PANPHARMA 2 G, POUDRE POUR SOLUTION INJECTABLE (IV)
CEFOXITINE SUBSTIPHARM 1 G, POUDRE POUR SOLUTION INJECTABLE
CEFOXITINE SUBSTIPHARM 2 G, POUDRE POUR SOLUTION INJECTABLE
CEFPODOXIME ARROW ENFANTS ET NOURRISSONS 40 MG/5 ML, POUDRE POUR SUSPENSION BUVABLE
CEFPODOXIME ARROW LAB 100 MG, COMPRIMÉ PELLICULÉ
CEFPODOXIME BIOGARAN 100 MG, COMPRIMÉ PELLICULÉ
CEFPODOXIME BIOGARAN ENFANTS ET NOURRISSONS 40 MG/5 ML, POUDRE POUR SUSPENSION BUVABLE
CEFPODOXIME CRISTERS 100 MG, COMPRIMÉ PELLICULÉ
CEFPODOXIME EG 100 MG, COMPRIMÉ PELLICULÉ
CEFPODOXIME EG ENFANTS ET NOURRISSONS 40 MG/5 ML, POUDRE POUR SUSPENSION BUVABLE
CEFPODOXIME SANDOZ 100 MG, COMPRIMÉ PELLICULÉ
CEFPODOXIME SANDOZ ENFANTS ET NOURRISSONS 40 MG/5 ML, POUDRE POUR SUSPENSION BUVABLE
CEFPODOXIME SUN 100 MG, COMPRIMÉ PELLICULÉ
CEFPODOXIME TEVA 100 MG, COMPRIMÉ PELLICULÉ
CEFPODOXIME TEVA ENFANTS ET NOURRISSONS 40 MG/ 5 ML, POUDRE POUR SUSPENSION BUVABLE
CEFPODOXIME VIATRIS 100 MG, COMPRIMÉ PELLICULÉ
CEFPODOXIME ZENTIVA 100 MG, COMPRIMÉ PELLICULÉ
CEFPODOXIME ZENTIVA ENFANTS ET NOURRISSONS 40 MG/5 ML, GRANULÉS POUR SUSPENSION BUVABLE
CEFPODOXIME ZYDUS 100 MG, COMPRIMÉ PELLICULÉ
CEFTAZIDIME ARROW 1 G, POUDRE POUR SOLUTION INJECTABLE (IM,IV)
CEFTAZIDIME ARROW 2 G, POUDRE POUR SOLUTION INJECTABLE (IV)
CEFTAZIDIME PANPHARMA 1 G, POUDRE POUR SOLUTION INJECTABLE
CEFTAZIDIME PANPHARMA 2 G, POUDRE POUR SOLUTION INJECTABLE
CEFTAZIDIME PANPHARMA ENFANTS ET NOURRISSONS 250 MG, POUDRE POUR SOLUTION INJECTABLE
CEFTAZIDIME PANPHARMA ENFANTS ET NOURRISSONS 500 MG, POUDRE POUR SOLUTION INJECTABLE
CEFTAZIDIME SUBSTIPHARM 0,5 G, POUDRE POUR SOLUTION INJECTABLE (IM, IV)
CEFTAZIDIME SUBSTIPHARM 1 G, POUDRE POUR SOLUTION INJECTABLE (IM,IV)
CEFTAZIDIME SUBSTIPHARM 2 G, POUDRE POUR SOLUTION INJECTABLE (IV)
CEFTAZIDIME VIATRIS 1 G, POUDRE POUR SOLUTION INJECTABLE (IM, IV)
CEFTAZIDIME VIATRIS 2 G, POUDRE POUR SOLUTION INJECTABLE (IV)
CEFTAZIDIME VIATRIS ENFANTS ET NOURRISSONS 250 MG, POUDRE POUR SOLUTION INJECTABLE (IM, IV)
CEFTAZIDIME VIATRIS ENFANTS ET NOURRISSONS 500 MG, POUDRE POUR SOLUTION INJECTABLE (IM, IV)
CEFTRIAXONE ALMUS 1 G/3,5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM)
CEFTRIAXONE ARROW 1 G/10 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IV)
CEFTRIAXONE ARROW 1 G/3,5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM)
CEFTRIAXONE ARROW 500 MG/2 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM)
CEFTRIAXONE BIOGARAN 1 G/10 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IV)
CEFTRIAXONE BIOGARAN 1 G/3,5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM)
CEFTRIAXONE CRISTERS 1 G/10 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IV)
CEFTRIAXONE CRISTERS 1 G/3,5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM)
CEFTRIAXONE EG 1 G/10 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IV)
CEFTRIAXONE EG 1 G/3,5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM)
CEFTRIAXONE EVOLUGEN 1 G/3,5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM)
CEFTRIAXONE PANPHARMA 1 G, POUDRE POUR SOLUTION INJECTABLE
CEFTRIAXONE PANPHARMA 1 G/3,5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM)
CEFTRIAXONE PANPHARMA 2 G, POUDRE POUR SOLUTION INJECTABLE
CEFTRIAXONE PANPHARMA 500 MG, POUDRE POUR SOLUTION INJECTABLE
CEFTRIAXONE SANDOZ 1 G/10 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IV)
CEFTRIAXONE SANDOZ 1 G/3,5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM)
CEFTRIAXONE SUBSTIPHARM 1 G, POUDRE POUR SOLUTION INJECTABLE
CEFTRIAXONE SUBSTIPHARM 1 G/10 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IV)
CEFTRIAXONE SUBSTIPHARM 2 G, POUDRE POUR SOLUTION INJECTABLE
CEFTRIAXONE SUN 1 G/3,5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM)
CEFTRIAXONE TEVA SANTE 1 G/10 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IV)
CEFTRIAXONE TEVA SANTE 1 G/3,5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM)
CEFTRIAXONE VIATRIS 1 G, POUDRE POUR SOLUTION INJECTABLE
CEFTRIAXONE VIATRIS 1 G/10 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IV)
CEFTRIAXONE VIATRIS 1 G/3,5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM)
CEFTRIAXONE VIATRIS 2 G, POUDRE POUR SOLUTION INJECTABLE IV
CEFTRIAXONE VIATRIS 250 MG, POUDRE POUR SOLUTION INJECTABLE
CEFTRIAXONE VIATRIS 500 MG, POUDRE POUR SOLUTION INJECTABLE
CEFTRIAXONE VIATRIS 500 MG/2 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM)
CEFTRIAXONE VIATRIS 500 MG/5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IV)
CEFTRIAXONE ZENTIVA 1 G/10 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IV)
CEFTRIAXONE ZENTIVA 1 G/3,5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM)
CEFTRIAXONE ZENTIVA 500 MG/2 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM)
CEFTRIAXONE ZENTIVA 500 MG/5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IV)
CEFTRIAXONE ZYDUS 1 G/3,5 ML, POUDRE ET SOLVANT POUR SOLUTION INJECTABLE (IM)
CEFUROXIME ARROW 250 MG, COMPRIMÉ PELLICULÉ
CEFUROXIME ARROW 50 MG, POUDRE POUR SOLUTION INJECTABLE
CEFUROXIME ARROW 500 MG, COMPRIMÉ PELLICULÉ
CEFUROXIME BGR 250 MG, COMPRIMÉ PELLICULÉ
CEFUROXIME BIOGARAN 250 MG, COMPRIMÉ PELLICULÉ
CEFUROXIME BIOGARAN 500 MG, COMPRIMÉ PELLICULÉ
CEFUROXIME CRISTERS 250 MG, COMPRIMÉ PELLICULÉ
CEFUROXIME FLAVELAB 250 MG, POUDRE POUR SOLUTION INJECTABLE (IM - IV)
CEFUROXIME KRKA 250 MG, COMPRIMÉ PELLICULÉ
CEFUROXIME PANPHARMA 1,5 G, POUDRE POUR SOLUTION POUR PERFUSION
CEFUROXIME PANPHARMA 750 MG, POUDRE POUR SOLUTION INJECTABLE (IM-IV)
CEFUROXIME SANDOZ 250 MG, COMPRIMÉ ENROBÉ
CEFUROXIME SANDOZ 500 MG, COMPRIMÉ ENROBÉ
CEFUROXIME TEVA 250 MG, COMPRIMÉ PELLICULÉ
CEFUROXIME VIATRIS 1,5 G, POUDRE POUR SOLUTION POUR PERFUSION
CEFUROXIME VIATRIS 250 MG, COMPRIMÉ ENROBÉ
CEFUROXIME VIATRIS 750 MG, POUDRE POUR SOLUTION INJECTABLE (IV) ET SUSPENSION INJECTABLE (IM)
CEFUROXIME ZENTIVA 250 MG, COMPRIMÉ PELLICULÉ
CEGFILA 6 MG, SOLUTION INJECTABLE EN SERINGUE PRÉREMPLIE
CELEBREX 100 MG, GÉLULE
CELEBREX 200 MG, GÉLULE
CELECOXIB ARROW 100 MG, GÉLULE
CELECOXIB ARROW 200 MG, GÉLULE
CELECOXIB ARROW LAB 100 MG, GÉLULE
CELECOXIB ARROW LAB 200 MG, GÉLULE
CELECOXIB BIOGARAN 100 MG, GÉLULE
CELECOXIB BIOGARAN 200 MG, GÉLULE
CELECOXIB CRISTERS 200 MG, GÉLULE
CELECOXIB EG 100 MG, GÉLULE
CELECOXIB EG 200 MG, GÉLULE
CELECOXIB HCS 100 MG, GÉLULE
CELECOXIB HCS 200 MG, GÉLULE
CELECOXIB MYLAN PHARMA 100 MG, GÉLULE
CELECOXIB MYLAN PHARMA 200 MG, GÉLULE
CELECOXIB RANBAXY 200 MG, GÉLULE
CELECOXIB SANDOZ 100 MG, GÉLULE
CELECOXIB SANDOZ 200 MG, GÉLULE
CELECOXIB TEVA 100 MG, GÉLULE
CELECOXIB TEVA 200 MG, GÉLULE
CELECOXIB VIATRIS 100 MG, GÉLULE
CELECOXIB VIATRIS 200 MG, GÉLULE
CELECOXIB VIATRIS GENERIQUES 200 MG, GÉLULE
CELECOXIB ZENTIVA 100 MG, GÉLULE
CELECOXIB ZENTIVA 200 MG, GÉLULE
CELECOXIB ZYDUS 100 MG, GÉLULE
CELECOXIB ZYDUS 200 MG, GÉLULE
CELECTOL 200 MG, COMPRIMÉ PELLICULÉ
CELESTAMINE, COMPRIMÉ
CELESTENE 0,05 POUR CENT, SOLUTION BUVABLE EN GOUTTES
CELESTENE 2 MG, COMPRIMÉ DISPERSIBLE SÉCABLE
CELESTENE 4 MG/1 ML, SOLUTION INJECTABLE
